transaction_id,customer_id,action_taken,intervention_cost,recovery_probability_at_action,recovered
TXN-10013,CUST-2452,Smart Retry,3,0.232,0
TXN-10013,CUST-2452,Human Review,10,0.392,0
TXN-10014,CUST-2701,Payment Reminder,5,0.434,1
TXN-10014,CUST-2701,Payment Link,7,0.444,0
TXN-10014,CUST-2701,Human Review,10,0.454,1
TXN-10015,CUST-1526,Delayed Retry,4,0.376,0
TXN-10015,CUST-1526,Smart Retry,3,0.576,0
TXN-10016,CUST-1361,Smart Retry,3,0.37,0
TXN-10016,CUST-1361,Payment Reminder,5,0.53,0
TXN-10016,CUST-1361,Payment Method Update,8,0.4,0
TXN-10017,CUST-2438,Human Review,10,0.514,1
TXN-10017,CUST-2438,Payment Method Update,8,0.364,0
TXN-10017,CUST-2438,Smart Retry,3,0.594,1
TXN-10018,CUST-1845,Human Review,10,0.488,0
TXN-10018,CUST-1845,Smart Retry,3,0.308,0
TXN-10019,CUST-1078,Smart Retry,3,0.332,0
TXN-10019,CUST-1078,Human Review,10,0.542,0
TXN-10020,CUST-1630,Smart Retry,3,0.34,0
TXN-10020,CUST-1630,Human Review,10,0.42,1
TXN-10020,CUST-1630,Payment Link,7,0.41,0
TXN-10021,CUST-2004,Payment Link,7,0.444,1
TXN-10021,CUST-2004,Payment Reminder,5,0.534,0
TXN-10021,CUST-2004,Human Review,10,0.454,0
TXN-10022,CUST-1749,Payment Reminder,5,0.344,0
TXN-10022,CUST-1749,Delayed Retry,4,0.344,1
TXN-10022,CUST-1749,Payment Method Update,8,0.314,0
TXN-10023,CUST-2166,Human Review,10,0.514,0
TXN-10023,CUST-2166,Payment Reminder,5,0.394,0
TXN-10023,CUST-2166,Payment Method Update,8,0.364,1
TXN-10024,CUST-3093,Payment Reminder,5,0.296,0
TXN-10024,CUST-3093,Human Review,10,0.316,1
TXN-10025,CUST-1465,Delayed Retry,4,0.434,1
TXN-10025,CUST-1465,Payment Link,7,0.444,0
TXN-10025,CUST-1465,Human Review,10,0.554,1
TXN-10026,CUST-3002,Delayed Retry,4,0.42,0
TXN-10026,CUST-3002,Smart Retry,3,0.62,0
TXN-10027,CUST-1549,Payment Link,7,0.464,0
TXN-10027,CUST-1549,Delayed Retry,4,0.454,1
TXN-10028,CUST-2526,Human Review,10,0.476,1
TXN-10028,CUST-2526,Payment Link,7,0.366,0
TXN-10029,CUST-3323,Payment Method Update,8,0.35,0
TXN-10029,CUST-3323,Delayed Retry,4,0.38,1
TXN-10030,CUST-1683,Smart Retry,3,0.436,1
TXN-10030,CUST-1683,Payment Reminder,5,0.546,0
TXN-10030,CUST-1683,Delayed Retry,4,0.606,1
TXN-10031,CUST-2693,Payment Reminder,5,0.49,0
TXN-10031,CUST-2693,Payment Link,7,0.5,1
TXN-10032,CUST-2487,Payment Link,7,0.412,0
TXN-10032,CUST-2487,Smart Retry,3,0.652,1
TXN-10033,CUST-3199,Payment Method Update,8,0.314,0
TXN-10033,CUST-3199,Human Review,10,0.364,0
TXN-10033,CUST-3199,Payment Link,7,0.354,0
TXN-10034,CUST-2838,Smart Retry,3,0.34,1
TXN-10034,CUST-2838,Payment Link,7,0.56,0
TXN-10035,CUST-2322,Smart Retry,3,0.586,1
TXN-10035,CUST-2322,Payment Reminder,5,0.386,1
TXN-10036,CUST-1666,Payment Method Update,8,0.44,0
TXN-10036,CUST-1666,Payment Link,7,0.48,0
TXN-10037,CUST-3346,Payment Reminder,5,0.502,0
TXN-10037,CUST-3346,Payment Method Update,8,0.372,1
TXN-10038,CUST-3063,Delayed Retry,4,0.38,0
TXN-10038,CUST-3063,Payment Method Update,8,0.35,1
TXN-10039,CUST-2739,Payment Method Update,8,0.69,1
TXN-10039,CUST-2739,Delayed Retry,4,0.47,1
TXN-10039,CUST-2739,Payment Reminder,5,0.47,0
TXN-10040,CUST-1738,Payment Reminder,5,0.4,1
TXN-10040,CUST-1738,Payment Link,7,0.56,1
TXN-10040,CUST-1738,Smart Retry,3,0.34,1
TXN-10041,CUST-3476,Payment Link,7,0.63,0
TXN-10041,CUST-3476,Payment Method Update,8,0.44,0
TXN-10041,CUST-3476,Delayed Retry,4,0.47,1
TXN-10042,CUST-3422,Delayed Retry,4,0.43,1
TXN-10042,CUST-3422,Human Review,10,0.55,1
TXN-10042,CUST-3422,Payment Method Update,8,0.4,0
TXN-10043,CUST-3325,Delayed Retry,4,0.38,0
TXN-10043,CUST-3325,Smart Retry,3,0.63,0
TXN-10044,CUST-2490,Smart Retry,3,0.61,0
TXN-10044,CUST-2490,Payment Reminder,5,0.36,0
TXN-10045,CUST-2181,Payment Reminder,5,0.434,1
TXN-10045,CUST-2181,Delayed Retry,4,0.434,0
TXN-10045,CUST-2181,Payment Method Update,8,0.404,0
TXN-10046,CUST-1494,Delayed Retry,4,0.398,0
TXN-10046,CUST-1494,Payment Reminder,5,0.398,1
TXN-10047,CUST-1890,Payment Link,7,0.5,0
TXN-10047,CUST-1890,Delayed Retry,4,0.49,1
TXN-10048,CUST-3299,Payment Method Update,8,0.67,1
TXN-10048,CUST-3299,Payment Link,7,0.46,0
TXN-10048,CUST-3299,Payment Reminder,5,0.45,0
TXN-10049,CUST-1720,Payment Method Update,8,0.404,1
TXN-10049,CUST-1720,Human Review,10,0.554,0
TXN-10050,CUST-2496,Human Review,10,0.54,0
TXN-10050,CUST-2496,Payment Reminder,5,0.42,0
TXN-10051,CUST-1426,Payment Link,7,0.456,0
TXN-10051,CUST-1426,Delayed Retry,4,0.606,1
TXN-10051,CUST-1426,Payment Method Update,8,0.416,1
TXN-10052,CUST-2129,Payment Reminder,5,0.446,1
TXN-10052,CUST-2129,Payment Method Update,8,0.416,0
TXN-10052,CUST-2129,Delayed Retry,4,0.446,1
TXN-10053,CUST-2856,Payment Link,7,0.404,1
TXN-10053,CUST-2856,Payment Reminder,5,0.394,0
TXN-10053,CUST-2856,Smart Retry,3,0.334,0
TXN-10054,CUST-1027,Payment Reminder,5,0.378,1
TXN-10054,CUST-1027,Payment Method Update,8,0.348,0
TXN-10055,CUST-1464,Human Review,10,0.54,1
TXN-10055,CUST-1464,Payment Reminder,5,0.42,0
TXN-10055,CUST-1464,Smart Retry,3,0.36,1
TXN-10056,CUST-2578,Delayed Retry,4,0.308,0
TXN-10056,CUST-2578,Payment Link,7,0.468,1
TXN-10057,CUST-2903,Payment Link,7,0.61,1
TXN-10057,CUST-2903,Delayed Retry,4,0.45,0
TXN-10057,CUST-2903,Payment Reminder,5,0.45,1
TXN-10058,CUST-2643,Payment Reminder,5,0.494,0
TXN-10058,CUST-2643,Payment Link,7,0.404,1
TXN-10059,CUST-1516,Human Review,10,0.566,0
TXN-10059,CUST-1516,Payment Link,7,0.456,0
TXN-10060,CUST-2307,Payment Method Update,8,0.37,0
TXN-10060,CUST-2307,Smart Retry,3,0.6,1
TXN-10060,CUST-2307,Payment Reminder,5,0.4,0
TXN-10061,CUST-1130,Delayed Retry,4,0.542,0
TXN-10061,CUST-1130,Payment Reminder,5,0.482,1
TXN-10062,CUST-2502,Payment Method Update,8,0.614,0
TXN-10062,CUST-2502,Payment Link,7,0.404,1
TXN-10063,CUST-2519,Payment Reminder,5,0.376,1
TXN-10063,CUST-2519,Smart Retry,3,0.366,0
TXN-10063,CUST-2519,Payment Method Update,8,0.596,0
TXN-10064,CUST-3168,Delayed Retry,4,0.598,1
TXN-10064,CUST-3168,Payment Link,7,0.448,0
TXN-10065,CUST-2749,Payment Method Update,8,0.38,0
TXN-10065,CUST-2749,Payment Reminder,5,0.41,0
TXN-10066,CUST-2847,Smart Retry,3,0.316,1
TXN-10066,CUST-2847,Delayed Retry,4,0.376,0
TXN-10067,CUST-1666,Human Review,10,0.61,1
TXN-10067,CUST-1666,Delayed Retry,4,0.49,0
TXN-10068,CUST-1156,Human Review,10,0.496,0
TXN-10068,CUST-1156,Delayed Retry,4,0.376,0
TXN-10069,CUST-2378,Delayed Retry,4,0.272,0
TXN-10069,CUST-2378,Human Review,10,0.372,0
TXN-10069,CUST-2378,Smart Retry,3,0.472,1
TXN-10070,CUST-3253,Payment Reminder,5,0.422,1
TXN-10070,CUST-3253,Payment Link,7,0.432,1
TXN-10071,CUST-1164,Delayed Retry,4,0.47,1
TXN-10071,CUST-1164,Smart Retry,3,0.46,0
TXN-10072,CUST-3353,Human Review,10,0.462,0
TXN-10072,CUST-3353,Payment Method Update,8,0.332,1
TXN-10073,CUST-2187,Payment Reminder,5,0.376,1
TXN-10073,CUST-2187,Delayed Retry,4,0.376,0
TXN-10074,CUST-2744,Delayed Retry,4,0.524,0
TXN-10074,CUST-2744,Payment Method Update,8,0.334,0
TXN-10074,CUST-2744,Smart Retry,3,0.304,1
TXN-10075,CUST-2547,Delayed Retry,4,0.466,0
TXN-10075,CUST-2547,Human Review,10,0.486,1
TXN-10075,CUST-2547,Payment Method Update,8,0.436,0
TXN-10076,CUST-1307,Payment Method Update,8,0.38,0
TXN-10076,CUST-1307,Delayed Retry,4,0.41,1
TXN-10076,CUST-1307,Smart Retry,3,0.66,0
TXN-10077,CUST-1188,Human Review,10,0.42,1
TXN-10077,CUST-1188,Payment Reminder,5,0.4,1
TXN-10077,CUST-1188,Smart Retry,3,0.6,1
TXN-10078,CUST-1503,Smart Retry,3,0.408,1
TXN-10078,CUST-1503,Delayed Retry,4,0.578,1
TXN-10078,CUST-1503,Payment Reminder,5,0.518,0
TXN-10079,CUST-1615,Payment Method Update,8,0.29,0
TXN-10079,CUST-1615,Human Review,10,0.44,0
TXN-10080,CUST-1650,Payment Link,7,0.406,0
TXN-10080,CUST-1650,Smart Retry,3,0.336,0
TXN-10081,CUST-1419,Payment Reminder,5,0.372,0
TXN-10081,CUST-1419,Human Review,10,0.492,1
TXN-10081,CUST-1419,Delayed Retry,4,0.372,0
TXN-10082,CUST-1700,Payment Reminder,5,0.422,0
TXN-10082,CUST-1700,Payment Method Update,8,0.392,1
TXN-10082,CUST-1700,Delayed Retry,4,0.422,0
TXN-10083,CUST-2042,Delayed Retry,4,0.438,0
TXN-10083,CUST-2042,Payment Link,7,0.598,0
TXN-10083,CUST-2042,Payment Reminder,5,0.438,0
TXN-10084,CUST-1133,Delayed Retry,4,0.43,1
TXN-10084,CUST-1133,Smart Retry,3,0.68,0
TXN-10084,CUST-1133,Human Review,10,0.45,0
TXN-10085,CUST-2393,Payment Reminder,5,0.47,1
TXN-10085,CUST-2393,Human Review,10,0.49,0
TXN-10085,CUST-2393,Payment Link,7,0.63,1
TXN-10086,CUST-1089,Delayed Retry,4,0.36,0
TXN-10086,CUST-1089,Payment Method Update,8,0.58,1
TXN-10086,CUST-1089,Smart Retry,3,0.35,0
TXN-10087,CUST-1664,Smart Retry,3,0.646,1
TXN-10087,CUST-1664,Payment Method Update,8,0.416,1
TXN-10088,CUST-1894,Human Review,10,0.538,0
TXN-10088,CUST-1894,Payment Link,7,0.428,0
TXN-10089,CUST-2975,Payment Method Update,8,0.556,1
TXN-10089,CUST-2975,Human Review,10,0.456,0
TXN-10089,CUST-2975,Delayed Retry,4,0.336,1
TXN-10090,CUST-1693,Smart Retry,3,0.394,1
TXN-10090,CUST-1693,Delayed Retry,4,0.614,1
TXN-10091,CUST-2216,Payment Method Update,8,0.37,1
TXN-10091,CUST-2216,Payment Reminder,5,0.4,0
TXN-10091,CUST-2216,Delayed Retry,4,0.4,0
TXN-10092,CUST-2707,Payment Method Update,8,0.318,0
TXN-10092,CUST-2707,Payment Link,7,0.358,0
TXN-10092,CUST-2707,Delayed Retry,4,0.508,1
TXN-10093,CUST-2291,Human Review,10,0.59,0
TXN-10093,CUST-2291,Delayed Retry,4,0.47,0
TXN-10093,CUST-2291,Payment Method Update,8,0.44,0
TXN-10094,CUST-1530,Human Review,10,0.48,0
TXN-10094,CUST-1530,Delayed Retry,4,0.36,0
TXN-10095,CUST-2124,Payment Link,7,0.606,0
TXN-10095,CUST-2124,Delayed Retry,4,0.446,1
TXN-10095,CUST-2124,Payment Reminder,5,0.446,0
TXN-10096,CUST-1024,Payment Method Update,8,0.326,0
TXN-10096,CUST-1024,Payment Link,7,0.366,0
TXN-10096,CUST-1024,Human Review,10,0.476,1
TXN-10097,CUST-2627,Payment Method Update,8,0.266,0
TXN-10097,CUST-2627,Human Review,10,0.416,0
TXN-10097,CUST-2627,Payment Link,7,0.456,1
TXN-10098,CUST-2390,Human Review,10,0.566,1
TXN-10098,CUST-2390,Payment Method Update,8,0.416,0
TXN-10098,CUST-2390,Delayed Retry,4,0.446,1
TXN-10099,CUST-2244,Smart Retry,3,0.598,1
TXN-10099,CUST-2244,Delayed Retry,4,0.398,0
TXN-10100,CUST-2008,Payment Reminder,5,0.414,0
TXN-10100,CUST-2008,Payment Method Update,8,0.634,1
TXN-10101,CUST-1759,Payment Reminder,5,0.378,1
TXN-10101,CUST-1759,Smart Retry,3,0.628,0
TXN-10102,CUST-1518,Payment Method Update,8,0.392,1
TXN-10102,CUST-1518,Smart Retry,3,0.622,1
TXN-10103,CUST-2857,Smart Retry,3,0.516,0
TXN-10103,CUST-2857,Human Review,10,0.436,1
TXN-10104,CUST-2886,Payment Method Update,8,0.35,1
TXN-10104,CUST-2886,Delayed Retry,4,0.38,0
TXN-10105,CUST-3286,Payment Method Update,8,0.342,0
TXN-10105,CUST-3286,Payment Reminder,5,0.372,0
TXN-10106,CUST-3489,Payment Method Update,8,0.62,1
TXN-10106,CUST-3489,Smart Retry,3,0.34,1
TXN-10107,CUST-2738,Payment Method Update,8,0.314,1
TXN-10107,CUST-2738,Smart Retry,3,0.334,1
TXN-10108,CUST-2555,Human Review,10,0.508,0
TXN-10108,CUST-2555,Smart Retry,3,0.558,0
TXN-10108,CUST-2555,Payment Reminder,5,0.308,0
TXN-10109,CUST-3315,Payment Method Update,8,0.36,0
TXN-10109,CUST-3315,Human Review,10,0.51,0
TXN-10109,CUST-3315,Payment Reminder,5,0.39,1
TXN-10110,CUST-3113,Smart Retry,3,0.312,0
TXN-10110,CUST-3113,Delayed Retry,4,0.372,1
TXN-10111,CUST-1803,Smart Retry,3,0.302,0
TXN-10111,CUST-1803,Payment Reminder,5,0.312,0
TXN-10111,CUST-1803,Delayed Retry,4,0.312,0
TXN-10112,CUST-2858,Payment Link,7,0.294,0
TXN-10112,CUST-2858,Human Review,10,0.484,0
TXN-10113,CUST-2473,Smart Retry,3,0.41,0
TXN-10113,CUST-2473,Payment Method Update,8,0.39,0
TXN-10113,CUST-2473,Payment Link,7,0.43,0
TXN-10114,CUST-1378,Human Review,10,0.61,0
TXN-10114,CUST-1378,Payment Link,7,0.5,1
TXN-10114,CUST-1378,Payment Method Update,8,0.46,1
TXN-10115,CUST-2013,Payment Reminder,5,0.59,0
TXN-10115,CUST-2013,Human Review,10,0.61,1
TXN-10116,CUST-3188,Smart Retry,3,0.412,1
TXN-10116,CUST-3188,Payment Link,7,0.432,0
TXN-10117,CUST-1387,Human Review,10,0.392,0
TXN-10117,CUST-1387,Payment Link,7,0.282,1
TXN-10118,CUST-2747,Payment Link,7,0.41,0
TXN-10118,CUST-2747,Payment Reminder,5,0.4,1
TXN-10119,CUST-1135,Smart Retry,3,0.394,1
TXN-10119,CUST-1135,Human Review,10,0.574,0
TXN-10120,CUST-2362,Smart Retry,3,0.602,1
TXN-10120,CUST-2362,Payment Reminder,5,0.402,0
TXN-10121,CUST-1333,Human Review,10,0.55,0
TXN-10121,CUST-1333,Payment Reminder,5,0.53,0
TXN-10121,CUST-1333,Delayed Retry,4,0.59,0
TXN-10122,CUST-1501,Human Review,10,0.368,0
TXN-10122,CUST-1501,Payment Reminder,5,0.348,0
TXN-10123,CUST-1773,Payment Link,7,0.392,0
TXN-10123,CUST-1773,Payment Method Update,8,0.352,0
TXN-10124,CUST-1341,Payment Method Update,8,0.378,1
TXN-10124,CUST-1341,Payment Link,7,0.418,0
TXN-10124,CUST-1341,Human Review,10,0.428,1
TXN-10125,CUST-2185,Smart Retry,3,0.26,0
TXN-10125,CUST-2185,Payment Link,7,0.33,1
TXN-10125,CUST-2185,Payment Method Update,8,0.29,0
TXN-10126,CUST-2443,Delayed Retry,4,0.466,0
TXN-10126,CUST-2443,Human Review,10,0.486,1
TXN-10126,CUST-2443,Payment Link,7,0.476,1
TXN-10127,CUST-3059,Payment Link,7,0.33,1
TXN-10127,CUST-3059,Smart Retry,3,0.26,0
TXN-10128,CUST-3420,Payment Link,7,0.342,0
TXN-10128,CUST-3420,Smart Retry,3,0.322,1
TXN-10129,CUST-3444,Payment Method Update,8,0.392,0
TXN-10129,CUST-3444,Payment Link,7,0.432,0
TXN-10130,CUST-1432,Human Review,10,0.428,0
TXN-10130,CUST-1432,Smart Retry,3,0.348,1
TXN-10130,CUST-1432,Delayed Retry,4,0.568,1
TXN-10131,CUST-2537,Human Review,10,0.392,1
TXN-10131,CUST-2537,Payment Method Update,8,0.512,0
TXN-10131,CUST-2537,Payment Link,7,0.302,1
TXN-10132,CUST-3343,Payment Reminder,5,0.444,0
TXN-10132,CUST-3343,Smart Retry,3,0.284,0
TXN-10132,CUST-3343,Delayed Retry,4,0.504,1
TXN-10133,CUST-2495,Payment Method Update,8,0.322,0
TXN-10133,CUST-2495,Payment Link,7,0.362,1
TXN-10134,CUST-3174,Payment Link,7,0.302,0
TXN-10134,CUST-3174,Delayed Retry,4,0.292,0
TXN-10134,CUST-3174,Human Review,10,0.492,1
TXN-10135,CUST-1988,Human Review,10,0.57,1
TXN-10135,CUST-1988,Payment Reminder,5,0.45,0
TXN-10136,CUST-2913,Human Review,10,0.554,1
TXN-10136,CUST-2913,Payment Link,7,0.444,0
TXN-10137,CUST-2521,Payment Link,7,0.342,1
TXN-10137,CUST-2521,Smart Retry,3,0.582,0
TXN-10138,CUST-2199,Payment Method Update,8,0.35,0
TXN-10138,CUST-2199,Payment Link,7,0.54,0
TXN-10138,CUST-2199,Payment Reminder,5,0.38,0
TXN-10139,CUST-3374,Payment Method Update,8,0.286,0
TXN-10139,CUST-3374,Payment Link,7,0.476,0
TXN-10139,CUST-3374,Human Review,10,0.436,0
TXN-10140,CUST-3299,Payment Link,7,0.424,0
TXN-10140,CUST-3299,Human Review,10,0.434,0
TXN-10140,CUST-3299,Delayed Retry,4,0.414,0
TXN-10141,CUST-1011,Smart Retry,3,0.324,0
TXN-10141,CUST-1011,Payment Reminder,5,0.484,0
TXN-10142,CUST-2100,Payment Reminder,5,0.348,0
TXN-10142,CUST-2100,Delayed Retry,4,0.348,0
TXN-10142,CUST-2100,Human Review,10,0.468,0
TXN-10143,CUST-1818,Payment Reminder,5,0.442,0
TXN-10143,CUST-1818,Payment Link,7,0.452,1
TXN-10144,CUST-3441,Payment Reminder,5,0.458,0
TXN-10144,CUST-3441,Human Review,10,0.578,1
TXN-10144,CUST-3441,Payment Link,7,0.618,1
TXN-10145,CUST-1569,Payment Reminder,5,0.49,1
TXN-10145,CUST-1569,Smart Retry,3,0.74,1
TXN-10145,CUST-1569,Payment Link,7,0.5,1
TXN-10146,CUST-1797,Smart Retry,3,0.58,1
TXN-10146,CUST-1797,Delayed Retry,4,0.38,1
TXN-10146,CUST-1797,Payment Link,7,0.39,1
TXN-10147,CUST-1309,Human Review,10,0.434,1
TXN-10147,CUST-1309,Payment Method Update,8,0.384,1
TXN-10147,CUST-1309,Payment Link,7,0.574,1
TXN-10148,CUST-2638,Delayed Retry,4,0.544,1
TXN-10148,CUST-2638,Payment Reminder,5,0.484,0
TXN-10148,CUST-2638,Payment Link,7,0.394,0
TXN-10149,CUST-2958,Delayed Retry,4,0.366,1
TXN-10149,CUST-2958,Payment Method Update,8,0.586,1
TXN-10149,CUST-2958,Human Review,10,0.386,0
TXN-10150,CUST-1822,Human Review,10,0.404,1
TXN-10150,CUST-1822,Payment Link,7,0.314,0
TXN-10151,CUST-1481,Human Review,10,0.34,0
TXN-10151,CUST-1481,Delayed Retry,4,0.32,0
TXN-10152,CUST-2766,Smart Retry,3,0.6,1
TXN-10152,CUST-2766,Payment Reminder,5,0.4,0
TXN-10152,CUST-2766,Human Review,10,0.42,1
TXN-10153,CUST-1164,Human Review,10,0.42,0
TXN-10153,CUST-1164,Payment Link,7,0.41,0
TXN-10153,CUST-1164,Payment Reminder,5,0.5,0
TXN-10154,CUST-1950,Payment Reminder,5,0.49,1
TXN-10154,CUST-1950,Payment Link,7,0.4,0
TXN-10155,CUST-3129,Delayed Retry,4,0.496,1
TXN-10155,CUST-3129,Human Review,10,0.356,1
TXN-10155,CUST-3129,Payment Reminder,5,0.436,0
TXN-10156,CUST-1631,Smart Retry,3,0.564,1
TXN-10156,CUST-1631,Human Review,10,0.484,1
TXN-10156,CUST-1631,Payment Method Update,8,0.334,0
TXN-10157,CUST-1287,Payment Reminder,5,0.344,1
TXN-10157,CUST-1287,Payment Method Update,8,0.314,0
TXN-10157,CUST-1287,Smart Retry,3,0.544,1
TXN-10158,CUST-3310,Human Review,10,0.496,1
TXN-10158,CUST-3310,Payment Link,7,0.386,0
TXN-10159,CUST-2095,Payment Method Update,8,0.364,0
TXN-10159,CUST-2095,Smart Retry,3,0.334,0
TXN-10160,CUST-2474,Human Review,10,0.372,0
TXN-10160,CUST-2474,Smart Retry,3,0.552,1
TXN-10161,CUST-3275,Human Review,10,0.422,0
TXN-10161,CUST-3275,Payment Link,7,0.412,0
TXN-10161,CUST-3275,Smart Retry,3,0.342,0
TXN-10162,CUST-2089,Delayed Retry,4,0.59,0
TXN-10162,CUST-2089,Payment Reminder,5,0.53,0
TXN-10163,CUST-2239,Payment Method Update,8,0.528,0
TXN-10163,CUST-2239,Payment Link,7,0.318,1
TXN-10164,CUST-3260,Payment Link,7,0.342,1
TXN-10164,CUST-3260,Human Review,10,0.352,0
TXN-10165,CUST-2395,Human Review,10,0.4,0
TXN-10165,CUST-2395,Payment Link,7,0.39,1
TXN-10166,CUST-1220,Human Review,10,0.448,0
TXN-10166,CUST-1220,Payment Link,7,0.338,0
TXN-10166,CUST-1220,Smart Retry,3,0.268,0
TXN-10167,CUST-1390,Payment Link,7,0.456,0
TXN-10167,CUST-1390,Payment Reminder,5,0.446,1
TXN-10167,CUST-1390,Delayed Retry,4,0.446,1
TXN-10168,CUST-2804,Smart Retry,3,0.67,1
TXN-10168,CUST-2804,Payment Link,7,0.48,1
TXN-10169,CUST-2492,Payment Link,7,0.354,0
TXN-10169,CUST-2492,Payment Method Update,8,0.314,0
TXN-10170,CUST-1117,Delayed Retry,4,0.42,1
TXN-10170,CUST-1117,Smart Retry,3,0.36,0
TXN-10171,CUST-2000,Smart Retry,3,0.33,0
TXN-10171,CUST-2000,Payment Link,7,0.35,1
TXN-10172,CUST-1691,Payment Reminder,5,0.296,0
TXN-10172,CUST-1691,Human Review,10,0.416,0
TXN-10173,CUST-2467,Smart Retry,3,0.372,1
TXN-10173,CUST-2467,Payment Link,7,0.542,0
TXN-10174,CUST-1187,Human Review,10,0.516,0
TXN-10174,CUST-1187,Payment Link,7,0.406,0
TXN-10175,CUST-1353,Smart Retry,3,0.602,0
TXN-10175,CUST-1353,Payment Reminder,5,0.352,0
TXN-10175,CUST-1353,Payment Method Update,8,0.322,0
TXN-10176,CUST-2330,Payment Link,7,0.452,0
TXN-10176,CUST-2330,Payment Reminder,5,0.442,1
TXN-10176,CUST-2330,Smart Retry,3,0.642,1
TXN-10177,CUST-2350,Payment Link,7,0.326,1
TXN-10177,CUST-2350,Payment Method Update,8,0.286,0
TXN-10178,CUST-1106,Delayed Retry,4,0.39,0
TXN-10178,CUST-1106,Payment Link,7,0.55,1
TXN-10178,CUST-1106,Payment Method Update,8,0.36,0
TXN-10179,CUST-2009,Human Review,10,0.598,1
TXN-10179,CUST-2009,Payment Link,7,0.488,1
TXN-10179,CUST-2009,Payment Method Update,8,0.448,0
TXN-10180,CUST-2724,Delayed Retry,4,0.358,0
TXN-10180,CUST-2724,Payment Link,7,0.368,0
TXN-10180,CUST-2724,Payment Reminder,5,0.358,0
TXN-10181,CUST-1199,Payment Reminder,5,0.43,1
TXN-10181,CUST-1199,Delayed Retry,4,0.43,1
TXN-10181,CUST-1199,Smart Retry,3,0.37,0
TXN-10182,CUST-3022,Human Review,10,0.534,0
TXN-10182,CUST-3022,Payment Method Update,8,0.384,1
TXN-10182,CUST-3022,Delayed Retry,4,0.414,0
TXN-10183,CUST-1995,Delayed Retry,4,0.41,1
TXN-10183,CUST-1995,Payment Link,7,0.57,0
TXN-10183,CUST-1995,Human Review,10,0.53,0
TXN-10184,CUST-1421,Payment Reminder,5,0.472,0
TXN-10184,CUST-1421,Payment Method Update,8,0.342,1
TXN-10185,CUST-2537,Payment Link,7,0.326,0
TXN-10185,CUST-2537,Payment Reminder,5,0.316,1
TXN-10186,CUST-2347,Payment Method Update,8,0.346,0
TXN-10186,CUST-2347,Payment Reminder,5,0.376,1
TXN-10187,CUST-1580,Human Review,10,0.528,1
TXN-10187,CUST-1580,Smart Retry,3,0.608,1
TXN-10187,CUST-1580,Payment Method Update,8,0.378,0
TXN-10188,CUST-1763,Smart Retry,3,0.656,1
TXN-10188,CUST-1763,Payment Reminder,5,0.406,0
TXN-10189,CUST-2127,Payment Method Update,8,0.638,0
TXN-10189,CUST-2127,Payment Link,7,0.428,0
TXN-10189,CUST-2127,Payment Reminder,5,0.418,0
TXN-10190,CUST-2037,Payment Method Update,8,0.342,0
TXN-10190,CUST-2037,Smart Retry,3,0.572,0
TXN-10191,CUST-2308,Delayed Retry,4,0.442,0
TXN-10191,CUST-2308,Payment Reminder,5,0.442,1
TXN-10191,CUST-2308,Payment Link,7,0.452,0
TXN-10192,CUST-1580,Payment Reminder,5,0.328,0
TXN-10192,CUST-1580,Smart Retry,3,0.528,0
TXN-10193,CUST-2604,Payment Method Update,8,0.61,1
TXN-10193,CUST-2604,Payment Link,7,0.4,1
