transaction_id,customer_id,amount,payment_method,failure_reason,previous_successful_payments,previous_recovery_success,recovery_attempts,customer_annual_value,recovered
TXN-10091,CUST-2216,12099.12,Net Banking,Temporary Bank/Network Error,11,0,1,90452.44,1
TXN-10092,CUST-2707,15609.25,UPI,Insufficient Funds,4,0,0,89591.68,0
TXN-10093,CUST-2291,2692.45,UPI,Temporary Bank/Network Error,13,1,1,130245.42,1
TXN-10094,CUST-1530,7466.63,UPI,Authentication Failed,12,0,3,140817.9,0
TXN-10095,CUST-2124,9573.61,Debit Card,Authentication Failed,8,1,1,49683.61,0
TXN-10096,CUST-1024,7297.16,Debit Card,Temporary Bank/Network Error,8,0,2,300000.0,1
TXN-10097,CUST-2627,22359.03,UPI,Authentication Failed,3,0,2,77664.79,0
TXN-10098,CUST-2390,21938.56,Net Banking,Payment Gateway Timeout,8,1,1,85701.69,1
TXN-10099,CUST-2244,8536.34,Debit Card,Temporary Bank/Network Error,4,1,1,56998.29,1
TXN-10100,CUST-2008,4835.1,Net Banking,Card Expired,7,1,2,86521.58,0
TXN-10101,CUST-1759,4568.67,UPI,Payment Gateway Timeout,4,1,2,55055.24,1
TXN-10102,CUST-1518,2524.77,Wallet,Temporary Bank/Network Error,6,1,1,22496.16,1
TXN-10103,CUST-2857,12591.95,Credit Card,Payment Gateway Timeout,3,0,1,81251.09,0
TXN-10104,CUST-2886,4351.15,Debit Card,Temporary Bank/Network Error,12,0,2,87215.43,1
TXN-10105,CUST-3286,9886.48,Wallet,Temporary Bank/Network Error,6,0,0,34980.12,1
TXN-10106,CUST-3489,10261.42,Net Banking,Card Expired,12,0,1,78352.14,0
TXN-10107,CUST-2738,5528.33,UPI,Authentication Failed,7,0,2,63977.7,0
TXN-10108,CUST-2555,4717.35,UPI,Temporary Bank/Network Error,9,0,5,99303.78,0
TXN-10109,CUST-3315,6755.0,Credit Card,Authentication Failed,5,1,2,91612.86,0
TXN-10110,CUST-3113,6212.9,Net Banking,Authentication Failed,6,0,0,83999.17,0
TXN-10111,CUST-1803,11997.48,UPI,Authentication Failed,6,0,3,84811.02,0
TXN-10112,CUST-2858,20440.87,UPI,Card Expired,7,0,5,85127.05,0
TXN-10113,CUST-2473,8347.43,UPI,Insufficient Funds,11,0,0,72552.54,0
TXN-10114,CUST-1378,11202.76,Wallet,Payment Gateway Timeout,11,1,0,106558.07,1
TXN-10115,CUST-2013,3929.8,Net Banking,Insufficient Funds,11,1,0,103052.2,1
TXN-10116,CUST-3188,15140.24,UPI,Insufficient Funds,6,1,1,109615.43,0
TXN-10117,CUST-1387,25335.08,Credit Card,Payment Gateway Timeout,1,0,2,76158.32,0
TXN-10118,CUST-2747,9675.09,Debit Card,Temporary Bank/Network Error,10,0,1,140040.2,1
TXN-10119,CUST-1135,4684.0,Credit Card,Authentication Failed,7,1,0,253814.33,1
TXN-10120,CUST-2362,6528.32,Credit Card,Temporary Bank/Network Error,6,1,2,300000.0,1
TXN-10121,CUST-1333,4262.5,Debit Card,Insufficient Funds,13,1,3,111770.7,1
TXN-10122,CUST-1501,4479.9,Credit Card,Payment Gateway Timeout,4,0,0,55196.1,0
TXN-10123,CUST-1773,4975.13,Debit Card,Temporary Bank/Network Error,6,1,3,73537.85,1
TXN-10124,CUST-1341,12716.36,UPI,Temporary Bank/Network Error,9,0,0,59637.31,1
TXN-10125,CUST-2185,5331.65,Net Banking,Insufficient Funds,11,0,5,100345.33,0
TXN-10126,CUST-2443,7970.25,Debit Card,Temporary Bank/Network Error,8,1,0,35997.14,1
TXN-10127,CUST-3059,5028.04,Net Banking,Insufficient Funds,5,0,2,87408.52,0
TXN-10128,CUST-3420,6291.85,UPI,Card Expired,6,0,2,131964.33,0
TXN-10129,CUST-3444,3291.76,Credit Card,Payment Gateway Timeout,6,1,1,168832.27,1
TXN-10130,CUST-1432,4085.36,Net Banking,Insufficient Funds,9,0,0,25809.19,0
TXN-10131,CUST-2537,8473.06,UPI,Card Expired,6,0,4,30948.37,0
TXN-10132,CUST-3343,7757.06,Net Banking,Insufficient Funds,7,0,2,120414.52,0
TXN-10133,CUST-2495,9382.07,Credit Card,Temporary Bank/Network Error,6,0,1,96871.62,1
TXN-10134,CUST-3174,13997.22,Credit Card,Card Expired,6,0,4,93974.9,0
TXN-10135,CUST-1988,23344.39,Net Banking,Authentication Failed,10,1,2,115162.95,1
TXN-10136,CUST-2913,6916.55,Credit Card,Temporary Bank/Network Error,7,1,1,129485.84,1
TXN-10137,CUST-2521,3666.99,UPI,Temporary Bank/Network Error,6,0,2,69088.71,0
TXN-10138,CUST-2199,7533.31,UPI,Authentication Failed,10,0,2,141656.36,0
TXN-10139,CUST-3374,17621.35,UPI,Authentication Failed,3,0,1,144380.34,0
TXN-10140,CUST-3299,4896.47,UPI,Temporary Bank/Network Error,7,1,2,60975.54,1
TXN-10141,CUST-1011,4863.03,Credit Card,Insufficient Funds,7,0,0,43938.51,0
TXN-10142,CUST-2100,6569.06,Debit Card,Temporary Bank/Network Error,9,0,3,238730.93,1
TXN-10143,CUST-1818,8346.48,Credit Card,Payment Gateway Timeout,6,1,0,78716.76,1
TXN-10144,CUST-3441,12434.65,UPI,Authentication Failed,9,1,1,133295.07,1
TXN-10145,CUST-1569,10893.22,UPI,Temporary Bank/Network Error,12,1,0,68106.69,1
TXN-10146,CUST-1797,9477.71,Credit Card,Temporary Bank/Network Error,16,0,2,76909.81,1
TXN-10147,CUST-1309,2193.85,UPI,Authentication Failed,7,1,2,51311.79,0
TXN-10148,CUST-2638,6592.93,Credit Card,Insufficient Funds,7,0,0,71967.85,0
TXN-10149,CUST-2958,4261.03,UPI,Card Expired,3,1,2,68026.56,0
TXN-10150,CUST-1822,6568.95,Wallet,Temporary Bank/Network Error,7,0,4,31771.3,1
TXN-10151,CUST-1481,5281.73,UPI,Temporary Bank/Network Error,5,0,2,31704.34,0
TXN-10152,CUST-2766,6653.99,Wallet,Temporary Bank/Network Error,10,0,1,73195.21,1
TXN-10153,CUST-1164,10726.28,UPI,Insufficient Funds,11,0,1,74027.2,0
TXN-10154,CUST-1950,6458.23,Net Banking,Insufficient Funds,5,1,2,127602.53,0
TXN-10155,CUST-3129,2934.88,UPI,Insufficient Funds,8,0,3,51014.73,0
TXN-10156,CUST-1631,9675.26,Credit Card,Temporary Bank/Network Error,7,0,1,104121.63,1
TXN-10157,CUST-1287,4654.8,Credit Card,Temporary Bank/Network Error,7,0,2,92460.82,0
TXN-10158,CUST-3310,5923.51,UPI,Insufficient Funds,8,0,1,217925.36,0
TXN-10159,CUST-2095,5995.09,Net Banking,Insufficient Funds,7,1,3,44433.98,0
TXN-10160,CUST-2474,3936.37,Credit Card,Temporary Bank/Network Error,6,0,1,71513.53,1
TXN-10161,CUST-3275,3031.48,Credit Card,Insufficient Funds,6,1,2,26997.4,0
TXN-10162,CUST-2089,7267.23,UPI,Insufficient Funds,11,1,3,49388.03,0
TXN-10163,CUST-2239,10181.59,Credit Card,Card Expired,4,0,2,57739.07,0
TXN-10164,CUST-3260,10924.42,UPI,Card Expired,6,0,2,62425.85,0
TXN-10165,CUST-2395,1617.4,UPI,Insufficient Funds,10,0,2,48096.57,0
TXN-10166,CUST-1220,5753.63,Credit Card,Insufficient Funds,4,0,1,146703.87,0
TXN-10167,CUST-1390,10117.5,UPI,Temporary Bank/Network Error,8,1,1,22885.43,1
TXN-10168,CUST-2804,19257.78,Credit Card,Temporary Bank/Network Error,15,1,1,101871.65,1
TXN-10169,CUST-2492,12396.34,Debit Card,Payment Gateway Timeout,7,0,2,155668.84,0
TXN-10170,CUST-1117,3751.71,Net Banking,Authentication Failed,10,0,0,67294.05,0
TXN-10171,CUST-2000,5529.78,UPI,Insufficient Funds,5,0,1,65909.36,0
TXN-10172,CUST-1691,12588.28,UPI,Card Expired,3,0,2,99615.92,0
TXN-10173,CUST-2467,4694.63,UPI,Authentication Failed,6,1,3,37267.02,0
TXN-10174,CUST-1187,2317.08,Credit Card,Temporary Bank/Network Error,8,0,0,127588.88,1
TXN-10175,CUST-1353,5544.04,UPI,Payment Gateway Timeout,6,0,1,40603.47,0
TXN-10176,CUST-2330,6981.16,Debit Card,Payment Gateway Timeout,6,1,0,57669.23,1
TXN-10177,CUST-2350,8662.27,UPI,Temporary Bank/Network Error,3,0,1,120680.68,0
TXN-10178,CUST-1106,5336.5,Net Banking,Authentication Failed,10,1,5,99609.04,0
TXN-10179,CUST-2009,10348.34,Debit Card,Temporary Bank/Network Error,9,1,0,93054.01,1
TXN-10180,CUST-2724,5949.78,UPI,Temporary Bank/Network Error,4,1,3,81868.45,1
TXN-10181,CUST-1199,9351.48,Debit Card,Card Expired,12,1,3,143226.42,1
TXN-10182,CUST-3022,7142.71,Credit Card,Payment Gateway Timeout,7,1,2,218890.96,1
TXN-10183,CUST-1995,2818.78,UPI,Authentication Failed,5,1,1,165023.01,0
TXN-10184,CUST-1421,2765.31,UPI,Insufficient Funds,6,0,0,61737.34,0
TXN-10185,CUST-2537,2712.96,Net Banking,Temporary Bank/Network Error,8,0,4,96298.68,0
TXN-10186,CUST-2347,8388.6,UPI,Temporary Bank/Network Error,8,0,1,56394.2,1
TXN-10187,CUST-1580,7130.25,Credit Card,Temporary Bank/Network Error,9,0,0,97905.62,1
TXN-10188,CUST-1763,4160.53,UPI,Temporary Bank/Network Error,3,1,0,33318.58,1
TXN-10189,CUST-2127,9361.14,Debit Card,Card Expired,9,1,3,29446.84,0
TXN-10190,CUST-2037,4125.39,Debit Card,Temporary Bank/Network Error,6,0,0,70737.87,1
TXN-10191,CUST-2308,2825.43,Net Banking,Card Expired,6,1,0,64688.2,0
TXN-10192,CUST-1580,7394.41,Wallet,Payment Gateway Timeout,4,0,1,26551.28,0
TXN-10193,CUST-2604,12086.25,UPI,Card Expired,5,1,2,75760.35,0
TXN-10194,CUST-1284,9853.32,UPI,Payment Gateway Timeout,10,1,1,51883.04,1
TXN-10195,CUST-3095,4591.46,Debit Card,Temporary Bank/Network Error,9,1,0,33016.53,1
TXN-10196,CUST-1480,2934.63,Credit Card,Payment Gateway Timeout,5,0,0,44953.53,0
TXN-10197,CUST-2693,6786.72,Credit Card,Authentication Failed,8,1,2,33013.88,0
TXN-10198,CUST-2641,14630.96,Credit Card,Authentication Failed,11,1,2,35913.95,1
TXN-10199,CUST-1131,11480.37,UPI,Card Expired,9,0,1,80159.99,0
TXN-10200,CUST-2202,9029.05,UPI,Card Expired,8,0,1,181039.49,0
TXN-10201,CUST-1339,4472.07,Debit Card,Authentication Failed,2,0,2,114546.85,0
TXN-10202,CUST-1354,3905.44,Net Banking,Insufficient Funds,8,0,0,66443.68,0
TXN-10203,CUST-3265,9877.71,UPI,Temporary Bank/Network Error,9,1,2,102820.03,1
TXN-10204,CUST-3142,3409.48,Debit Card,Insufficient Funds,9,1,0,168137.51,1
TXN-10205,CUST-2490,18706.84,Credit Card,Temporary Bank/Network Error,10,0,1,97739.54,1
TXN-10206,CUST-2007,11066.69,Wallet,Insufficient Funds,5,0,2,111852.33,0
TXN-10207,CUST-1848,4440.37,Net Banking,Temporary Bank/Network Error,9,1,2,49573.25,1
TXN-10208,CUST-1030,6629.06,UPI,Temporary Bank/Network Error,8,1,1,107228.44,1
TXN-10209,CUST-2872,3156.15,UPI,Temporary Bank/Network Error,6,0,2,89830.14,0
TXN-10210,CUST-2004,5941.84,UPI,Temporary Bank/Network Error,16,1,0,51983.7,1
TXN-10211,CUST-3285,13103.22,Credit Card,Temporary Bank/Network Error,6,1,3,52140.46,1
TXN-10212,CUST-3332,17623.34,Credit Card,Authentication Failed,4,1,2,149530.06,0
TXN-10213,CUST-1444,9868.55,Net Banking,Temporary Bank/Network Error,13,1,1,65021.26,1
TXN-10214,CUST-1028,2145.89,Credit Card,Card Expired,9,0,0,96950.7,0
TXN-10215,CUST-2644,8924.47,Credit Card,Temporary Bank/Network Error,6,1,1,164870.69,1
TXN-10216,CUST-1518,8952.68,Net Banking,Authentication Failed,8,1,0,72467.07,1
TXN-10217,CUST-2795,5670.43,Credit Card,Insufficient Funds,6,0,2,33349.47,0
TXN-10218,CUST-3051,11026.77,UPI,Temporary Bank/Network Error,6,0,5,68033.53,0
TXN-10219,CUST-3167,3880.5,Debit Card,Temporary Bank/Network Error,7,1,2,65335.53,1
TXN-10220,CUST-1537,9772.5,Credit Card,Temporary Bank/Network Error,11,1,2,54847.21,1
TXN-10221,CUST-2376,6602.73,UPI,Payment Gateway Timeout,11,0,2,36237.47,1
TXN-10222,CUST-3216,9044.18,Debit Card,Authentication Failed,9,0,0,58271.52,0
TXN-10223,CUST-2323,22564.71,Debit Card,Temporary Bank/Network Error,7,0,1,128401.03,1
TXN-10224,CUST-2365,8320.81,Credit Card,Insufficient Funds,11,1,1,35967.65,1
TXN-10225,CUST-3049,5519.31,UPI,Insufficient Funds,7,1,0,208245.87,1
TXN-10226,CUST-3114,4422.13,Debit Card,Temporary Bank/Network Error,8,1,2,38607.07,1
TXN-10227,CUST-3339,6103.12,Credit Card,Authentication Failed,4,1,1,47309.95,0
TXN-10228,CUST-2518,7067.39,UPI,Temporary Bank/Network Error,6,0,3,45799.82,0
TXN-10229,CUST-2039,5299.19,UPI,Temporary Bank/Network Error,8,0,1,79591.35,1
TXN-10230,CUST-1739,18451.01,Wallet,Insufficient Funds,10,1,3,33997.33,0
TXN-10231,CUST-2674,9332.44,Credit Card,Insufficient Funds,8,0,3,132886.35,0
TXN-10232,CUST-2932,5741.94,UPI,Payment Gateway Timeout,10,1,0,62442.13,1
TXN-10233,CUST-1709,14177.0,UPI,Insufficient Funds,2,0,0,65512.51,0
TXN-10234,CUST-1839,3045.81,UPI,Temporary Bank/Network Error,7,1,2,102453.97,1
TXN-10235,CUST-2774,13550.81,UPI,Authentication Failed,6,1,2,300000.0,1
TXN-10236,CUST-2704,13153.58,UPI,Temporary Bank/Network Error,10,1,0,61615.34,1
TXN-10237,CUST-1105,19548.53,Net Banking,Authentication Failed,10,0,2,106696.09,0
TXN-10238,CUST-3352,7712.75,UPI,Insufficient Funds,8,0,0,106650.66,0
TXN-10239,CUST-1788,12299.8,Credit Card,Insufficient Funds,11,0,1,89761.53,0
TXN-10240,CUST-1725,8861.53,UPI,Authentication Failed,10,0,0,98722.76,0
TXN-10241,CUST-1350,9543.26,UPI,Insufficient Funds,11,0,1,155978.74,0
TXN-10242,CUST-2173,4250.98,UPI,Temporary Bank/Network Error,5,1,1,57781.58,1
TXN-10243,CUST-2061,14857.01,Net Banking,Temporary Bank/Network Error,9,1,1,56221.71,1
TXN-10244,CUST-1886,8301.72,Net Banking,Insufficient Funds,11,0,1,40507.88,0
TXN-10245,CUST-2417,3730.71,UPI,Temporary Bank/Network Error,5,1,0,81794.2,1
TXN-10246,CUST-1609,6644.49,Credit Card,Payment Gateway Timeout,5,0,2,81358.89,0
TXN-10247,CUST-1264,2725.82,Net Banking,Temporary Bank/Network Error,12,0,0,42068.8,1
TXN-10248,CUST-2022,2909.22,Net Banking,Temporary Bank/Network Error,13,1,4,46640.31,1
TXN-10249,CUST-1739,4356.96,UPI,Insufficient Funds,6,1,0,159478.57,1
TXN-10250,CUST-2348,10057.36,Credit Card,Temporary Bank/Network Error,5,0,1,73999.86,0
TXN-10251,CUST-2866,13393.99,Credit Card,Temporary Bank/Network Error,8,1,0,65515.61,1
TXN-10252,CUST-1231,4530.42,Credit Card,Authentication Failed,8,0,1,52600.32,0
TXN-10253,CUST-2547,5841.29,Credit Card,Authentication Failed,8,1,3,109196.52,0
TXN-10254,CUST-3316,7703.9,Wallet,Insufficient Funds,9,0,2,127320.5,0
TXN-10255,CUST-1227,6771.41,Debit Card,Insufficient Funds,8,1,3,40520.96,0
TXN-10256,CUST-2078,7721.38,Wallet,Temporary Bank/Network Error,11,1,0,49544.8,1
TXN-10257,CUST-2338,3812.87,UPI,Temporary Bank/Network Error,8,1,0,112686.83,1
TXN-10258,CUST-2228,9205.2,UPI,Insufficient Funds,12,0,2,60796.77,0
TXN-10259,CUST-1634,6306.48,UPI,Insufficient Funds,13,1,0,75245.14,1
TXN-10260,CUST-3061,5572.05,UPI,Authentication Failed,6,1,1,68276.36,0
TXN-10261,CUST-1415,9601.98,Debit Card,Authentication Failed,8,1,2,81719.4,0
TXN-10262,CUST-1761,7966.93,Net Banking,Payment Gateway Timeout,4,1,1,31901.0,1
TXN-10263,CUST-2012,8809.81,UPI,Temporary Bank/Network Error,11,0,0,94563.66,1
TXN-10264,CUST-1769,6392.52,UPI,Temporary Bank/Network Error,6,0,0,90797.4,1
TXN-10265,CUST-1806,14652.83,UPI,Insufficient Funds,3,1,1,113371.68,0
TXN-10266,CUST-1939,5939.68,UPI,Insufficient Funds,10,1,1,76563.43,1
TXN-10267,CUST-2455,13952.1,UPI,Temporary Bank/Network Error,11,1,2,87032.26,1
TXN-10268,CUST-1171,6008.49,Credit Card,Temporary Bank/Network Error,13,0,4,64018.05,1
TXN-10269,CUST-1521,9828.32,Debit Card,Authentication Failed,10,0,1,29559.27,0
TXN-10270,CUST-2890,4198.91,Credit Card,Card Expired,14,0,1,93325.92,0
TXN-10271,CUST-1643,2746.98,Credit Card,Temporary Bank/Network Error,12,1,2,33708.18,1
TXN-10272,CUST-1462,11326.2,Credit Card,Insufficient Funds,5,1,1,230320.33,0
TXN-10273,CUST-1623,5670.52,Credit Card,Temporary Bank/Network Error,12,0,1,132840.95,1
TXN-10274,CUST-2716,10477.54,UPI,Authentication Failed,5,0,0,77131.48,0
TXN-10275,CUST-2209,13959.75,Credit Card,Authentication Failed,9,1,2,54118.83,0
TXN-10276,CUST-3108,4815.47,Debit Card,Authentication Failed,3,0,1,51499.93,0
TXN-10277,CUST-1890,5163.15,UPI,Temporary Bank/Network Error,6,1,0,57794.64,1
TXN-10278,CUST-1227,7500.51,Credit Card,Temporary Bank/Network Error,9,1,2,164531.53,1
TXN-10279,CUST-2442,6196.65,UPI,Temporary Bank/Network Error,8,0,1,177587.83,1
TXN-10280,CUST-2449,7387.61,UPI,Card Expired,7,1,1,151992.72,0
TXN-10281,CUST-2260,11107.48,UPI,Insufficient Funds,9,1,1,83963.52,1
TXN-10282,CUST-1020,4330.61,Credit Card,Temporary Bank/Network Error,10,1,1,111368.05,1
TXN-10283,CUST-2726,6655.65,Debit Card,Temporary Bank/Network Error,7,1,1,28120.15,1
TXN-10284,CUST-2819,13045.19,UPI,Insufficient Funds,3,1,4,152449.48,0
TXN-10285,CUST-1129,11104.49,Credit Card,Temporary Bank/Network Error,12,1,1,32547.71,1
TXN-10286,CUST-2637,11289.71,Credit Card,Temporary Bank/Network Error,6,1,2,45898.69,1
TXN-10287,CUST-1231,5075.41,UPI,Temporary Bank/Network Error,9,1,1,100374.42,1
TXN-10288,CUST-1533,7558.51,UPI,Insufficient Funds,8,0,0,65249.9,0
TXN-10289,CUST-1747,9238.79,UPI,Insufficient Funds,7,1,0,32396.08,1
TXN-10290,CUST-2771,8884.46,Debit Card,Insufficient Funds,11,1,0,103298.36,1
TXN-10291,CUST-3257,5188.69,UPI,Temporary Bank/Network Error,7,0,1,113799.61,1
